"","workerId","gen","chain","prepM","prepR","strings","arrayTraining","time","seen","level","encodingCorrected","consonants"
"167","A13",4,"C","right","atop","kuka moy solsil","[0,3]",1597839377,"true","2","kms","kvts"
"168","A13",4,"C","right","atop","solsil rae vinkin","[3,[1]]",1597839388,"true","2","srv","kvts"
"169","A13",4,"C","right","atop","tultol moy solsil","[2,3]",1597839398,"true","2","tms","kvts"
"170","A13",4,"C","right","atop","solsil moy tultol","[3,2]",1597839407,"true","2","smt","kvts"
"171","A13",4,"C","right","atop","vinkin rae kuka","[2,[0]]",1597839420,"true","2","vrk","kvts"
"172","A13",4,"C","right","atop","tultol rae solsil","[2,[1]]",1597839431,"true","2","trs","kvts"
"173","A13",4,"C","right","atop","solsil moy kuka","[3,0]",1597839440,"false","2","smk","kvts"
"174","A13",4,"C","right","atop","vinkin rae tultol","[1,[2]]",1597839459,"false","2","vrt","kvts"
"175","A13",4,"C","right","atop","kuka moy solsil","[0,1]",1597839473,"false","2","kms","kvts"
"176","A13",4,"C","right","atop","solsil rae solsil","[1,[3]]",1597839480,"false","2","srs","kvts"
"177","A13",4,"C","right","atop","tultol rae solsil rae solsil","[[3,[3]],[2]]",1597839492,"true","3","trsrs","kvts"
"178","A13",4,"C","right","atop","solsil rae kuka moy tultol","[2,[3,[0]]]",1597839510,"true","3","srkmt","kvts"
"179","A13",4,"C","right","atop","kuka rae kuka moy tultol","[0,[[2,0]]]",1597839527,"true","3","krkmt","kvts"
"180","A13",4,"C","right","atop","solsil moy tultol rae kuka","[[3,2],[0]]",1597839541,"true","3","smtrk","kvts"
"181","A13",4,"C","right","atop","solsil rae tultol rae tultol","[[1,[2]],[2]]",1597839551,"true","3","srtrt","kvts"
"182","A13",4,"C","right","atop","vinkin moy solsil rae solsil","[1,[3,[3]]]",1597839572,"true","3","vmsrs","kvts"
"183","A13",4,"C","right","atop","solsil rae tultol moy tultol","[[1,[2]],2]",1597839585,"true","3","srtmt","kvts"
"184","A13",4,"C","right","atop","kuka moy solsil rae vinkin","[[0,3],[1]]",1597839608,"true","3","kmsrv","kvts"
"185","A13",4,"C","right","atop","kuka rae solsil moy solsil","[0,[[1,1]]]",1597839619,"false","3","krsms","kvts"
"186","A13",4,"C","right","atop","solsil moy solsil moy kuka","[[3,3],0]",1597839637,"false","3","smsmk","kvts"
"187","A13",4,"C","right","atop","vinkin rae vinkin moy kuka","[[1,[1]],0]",1597839648,"false","3","vrvmk","kvts"
"188","A13",4,"C","right","atop","vinkin moy tultol moy kuka","[[1,2],0]",1597839661,"false","3","vmtmk","kvts"
"189","A13",4,"C","right","atop","tultol moy solsil moy tultol rae solsil","[3,[2,[2,[3]]]]",1597839681,"false","4","tmsmtrs","kvts"
"190","A13",4,"C","right","atop","vinkin rae tultol moy tultol moy vinkin","[1,[[2,[2,1]]]]",1597839700,"false","4","vrtmtmv","kvts"
"191","A13",4,"C","right","atop","vinkin moy solsil rae solsil moy solsil","[[[3,1],[3]],3]",1597839737,"false","4","vmsrsms","kvts"
"192","A13",4,"C","right","atop","kuka rae solsil rae vinkin moy vinkin","[0,[[3,[[1,1]]]]]",1597839768,"false","4","krsrvmv","kvts"
"193","A13",4,"C","right","atop","kuka moy vinkin moy kuka rae tultol","[[[0,1],0],[2]]",1597839785,"false","4","kmvmkrt","kvts"
"194","A13",4,"C","right","atop","tultol moy kuka moy vinkin moy tultol","[[[2,0],1],2]",1597839802,"false","4","tmkmvmt","kvts"
"195","A13",4,"C","right","atop","kuka moy solsil rae kuka rae kuka","[0,[3,[[0,[0]]]]]",1597839827,"false","4","kmsrkrk","kvts"
"196","A13",4,"C","right","atop","tultol rae vinkin rae tultol rae solsil","[[[2,[1]],[2]],[3]]",1597839840,"false","4","trvrtrs","kvts"
"197","A13",4,"C","right","atop","tultol moy kuka rae tultol moy solsil","[2,[0,[[2,3]]]]",1597839857,"false","4","tmkrtms","kvts"
"198","A13",4,"C","right","atop","vinkin rae vinkin moy solsil moy kuka","[[[1,[1]],3],0]",1597839870,"false","4","vrvmsmk","kvts"
"199","A13",4,"C","right","atop","vinkin rae kuka rae kuka moy vinkin","[[[1,[0]],[0]],1]",1597839882,"false","4","vrkrkmv","kvts"
